product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,inserted_at
a3648c962d60ced36f589f0500cdcb60,automotivo,57.0,1461.0,1.0,100.0,16.0,27.0,15.0,2024-01-23 12:52:53.013785
b0619e7ec34ce21283851c82f5189caa,utilidades_domesticas,60.0,1780.0,2.0,3320.0,55.0,13.0,40.0,2024-01-23 12:52:53.013785
32b5089b4627d3303dbe8c1b6314b63c,beleza_saude,60.0,1894.0,1.0,4050.0,25.0,25.0,25.0,2024-01-23 12:52:53.013785
a3ceb95649a48c0c54ae4bd1dd66d035,telefonia,56.0,279.0,2.0,170.0,23.0,5.0,16.0,2024-01-23 12:52:53.013785
7aa1ab866537ff58ef91e90e3df92134,informatica_acessorios,54.0,3382.0,6.0,825.0,18.0,26.0,22.0,2024-01-23 12:52:53.013785
2e810f124ff7668bc1ea0d1953aaacd2,relogios_presentes,55.0,623.0,1.0,337.0,16.0,13.0,13.0,2024-01-23 12:52:53.013785
01c2e91674406ebaca6a1bbf7f61c3f0,informatica_acessorios,55.0,260.0,1.0,600.0,23.0,16.0,16.0,2024-01-23 12:52:53.013785
70dfaa15ff6214af572bcf8372986f25,telefonia,58.0,1147.0,1.0,350.0,16.0,7.0,11.0,2024-01-23 12:52:53.013785
f196248e8b5d060cca414a664ea9a76f,automotivo,58.0,1167.0,1.0,1900.0,90.0,14.0,18.0,2024-01-23 12:52:53.013785
4b271b76eed185fd46be2bf42e1d02f3,market_place,34.0,368.0,3.0,200.0,22.0,35.0,22.0,2024-01-23 12:52:53.013785
d328462624ad874c591813fcfadbf1a0,cama_mesa_banho,53.0,413.0,1.0,1850.0,42.0,11.0,36.0,2024-01-23 12:52:53.013785
f3ee2b5fe1f27cb775ed3e8af9ed39e8,esporte_lazer,57.0,3113.0,1.0,2450.0,22.0,18.0,18.0,2024-01-23 12:52:53.013785
fe6550863a0e6a0167e2d2859f8f3b9e,cama_mesa_banho,57.0,529.0,1.0,650.0,16.0,10.0,16.0,2024-01-23 12:52:53.013785
fcd525d5a642e0fe40613667da935322,bebes,41.0,199.0,1.0,100.0,16.0,5.0,15.0,2024-01-23 12:52:53.013785
20e5b387f4e760842c0aeaaca8daf4fa,beleza_saude,58.0,1054.0,3.0,400.0,31.0,20.0,20.0,2024-01-23 12:52:53.013785
99a31da32285762c037b6d6bbdb0ed42,bebes,59.0,381.0,7.0,550.0,39.0,6.0,27.0,2024-01-23 12:52:53.013785
18becf80f3bb277fc07eee177b32cad2,utilidades_domesticas,57.0,2598.0,2.0,3467.0,47.0,23.0,31.0,2024-01-23 12:52:53.013785
0efe972876d70927f5099b77f387c6c7,moveis_decoracao,63.0,418.0,1.0,1350.0,45.0,15.0,35.0,2024-01-23 12:52:53.013785
33334a894aca4ac5b4b0832506727673,beleza_saude,59.0,548.0,1.0,1200.0,16.0,17.0,11.0,2024-01-23 12:52:53.013785
39bb2f298480bb8f763c1729a4db03cb,cama_mesa_banho,60.0,1220.0,1.0,300.0,20.0,7.0,16.0,2024-01-23 12:52:53.013785
83b4e88ac4a5689bfe0f7afe4a2b07cc,cama_mesa_banho,56.0,278.0,1.0,1300.0,45.0,15.0,35.0,2024-01-23 12:52:53.013785
1b93af229a5768eaaed2064722b1c1dc,casa_construcao,57.0,915.0,5.0,9950.0,52.0,22.0,52.0,2024-01-23 12:52:53.013785
9927048351cd36357bd4227c238f478b,musica,48.0,432.0,2.0,150.0,16.0,9.0,11.0,2024-01-23 12:52:53.013785
2bb67f2cd3ff60400e0bad33aee72d2a,brinquedos,49.0,872.0,1.0,550.0,40.0,10.0,30.0,2024-01-23 12:52:53.013785
